Id,SalePrice
1461,120153.91678989599
1462,167077.63497554386
1463,177996.39893768262
1464,181391.71002456022
1465,228741.30757552764
1466,161361.95073920852
1467,165268.33617832858
1468,151267.9322105933
1469,211424.42002205967
1470,103042.51525728771
1471,171683.1590769398
1472,86834.25170252491
1473,88214.43946975864
1474,139231.67537721922
1475,74917.35607587761
1476,357132.009837227
1477,278576.8354477348
1478,312182.76033072965
1479,331038.7529385069
1480,425286.42200857936
1481,336214.1290690351
1482,225848.3349934339
1483,182187.76911587533
1484,166487.39627121383
1485,204689.07810121065
1486,196298.66921295167
1487,352100.91635236377
1488,223877.04285594734
1489,219918.02537376567
1490,254058.6555912572
1491,211635.3054789024
1492,92044.9238703007
1493,224257.72894075201
1494,393282.11208900553
1495,302188.4378161947
1496,234912.7434049055
1497,160309.32122634753
1498,179441.29481323162
1499,156975.9703691092
1500,148941.9455192497
1501,176532.33480791544
1502,114709.48754079032
1503,321085.14245198
1504,242902.7916354368
1505,232034.03642545914
1506,188940.79167628023
1507,244961.31538524665
1508,213908.90967294975
1509,152088.6597077536
1510,153782.61389936978
1511,171261.60749037802
1512,183387.8776694807
1513,145243.15704425678
1514,191700.871388934
1515,208130.08656985647
1516,163149.61875313258
1517,168810.997610542
1518,104648.14908957187
1519,216928.49029364382
1520,129299.14583373
1521,131401.6877443617
1522,184405.28048185105
1523,95560.3901583413
1524,110718.36567645753
1525,106408.33598529734
1526,115512.45542585322
1527,96941.61011588496
1528,112859.77926871451
1529,156653.7832462034
1530,198021.75270049652
1531,133671.92377118344
1532,103754.95521386727
1533,188771.0885183758
1534,121885.1001864044
1535,153423.9181446615
1536,106560.81787529602
1537,44154.499163154396
1538,163289.00742853538
1539,220233.216865806
1540,129260.2509126731
1541,136266.48016481067
1542,176682.5812566784
1543,193842.8519615122
1544,81337.78479513305
1545,120012.03605165282
1546,167475.01454988332
1547,155121.5480093531
1548,149247.97086938805
1549,130757.98394086587
1550,158564.7848813119
1551,110146.50334557533
1552,147808.5871512383
1553,180450.2989032006
1554,96489.00842107012
1555,177070.22393686438
1556,55829.61988467396
1557,122907.63013878433
1558,77097.28943895051
1559,64730.97608776511
1560,139262.0573609462
1561,119665.35622483384
1562,143372.13307931335
1563,122577.82975511695
1564,142709.7233496935
1565,144042.61045120851
1566,260817.50903881848
1567,47855.85843874799
1568,246820.25907336044
1569,130657.43211868807
1570,139187.63505757798
1571,104971.39699140374
1572,132740.76906508615
1573,306232.1046695999
1574,138336.28068211657
1575,245779.74289619425
1576,239069.34739681825
1577,185665.25764574687
1578,117934.28956916477
1579,155450.54298145475
1580,191726.31244673228
1581,157935.58736863825
1582,127692.57984960842
1583,286008.35680243396
1584,215180.8230126282
1585,135019.26992972952
1586,19850.69791719204
1587,116419.1767298909
1588,165399.04412670154
1589,101817.77541629721
1590,122650.02878298365
1591,96515.73044936763
1592,127122.28585327475
1593,129407.88892438918
1594,132556.63575187922
1595,126857.65116357963
1596,215913.47439216418
1597,187642.66295350227
1598,232282.38655484526
1599,216486.5294055168
1600,206241.15670650927
1601,26251.590898702358
1602,136458.89017561995
1603,65871.89609594907
1604,275678.0019629947
1605,239795.02888212365
1606,150242.33988149185
1607,146067.08312926284
1608,212416.6545757288
1609,203013.1784092233
1610,161282.87118203947
1611,156012.7503611601
1612,194496.4819609092
1613,166032.93958933934
1614,141139.47568795277
1615,88728.73771092921
1616,67525.95162927144
1617,71701.69843832545
1618,113766.280057728
1619,151188.96190822608
1620,144663.78037680814
1621,148394.69755984296
1622,141542.61140450128
1623,266535.3089910243
1624,233859.34022475893
1625,109182.16264122578
1626,176023.82946525753
1627,179222.68789312537
1628,262986.8061640952
1629,186812.88285676276
1630,349903.2606543363
1631,268947.6387010629
1632,264773.6303195651
1633,182322.0995578545
1634,185778.27250455978
1635,175493.46265174614
1636,145423.18452771605
1637,191371.31148563293
1638,188959.7002090893
1639,178245.35920027152
1640,240184.96589847252
1641,177848.74910667771
1642,267938.12298691145
1643,220119.00884419878
1644,233776.60776272128
1645,220437.49558949197
